,Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
0,Alistar,78,100%,73,5,5,4,1,80%,2,2.6,8.2,3.92,163.8,5.31,10.1,327,-,-,72.9%,14.3%,19.4%,
1,Zilean,75,96.2%,62,13,11,6,7,46.2%,2.23,2.62,7.08,3.56,150.08,4.21,10.8,302,-,-,68.8%,16.5%,18.7%,
2,Lee Sin,72,92.3%,29,43,16,24,19,55.8%,2.91,2.74,7.21,3.69,102.6,2.84,10.4,287,-,-,65.9%,18.9%,17.5%,
3,Maokai,72,92.3%,45,27,12,17,10,63%,2.7,3.11,9.59,3.95,221.52,6.16,12.3,342,-,-,67.9%,14.9%,19.9%,
4,Ryze,68,87.2%,31,37,14,22,15,59.5%,3.49,3.16,5.54,2.85,232.95,6.65,12.3,351,-,-,61.6%,23.8%,21%,
5,Kha'Zix,66,84.6%,8,58,18,25,33,43.1%,2.98,2.57,4.79,3.03,137.84,3.8,10.8,299,-,-,61.1%,23.4%,18.8%,
6,Thresh,63,80.8%,19,44,15,24,20,54.5%,0.8,3.34,9.84,3.18,31.27,0.88,8.4,237,-,-,68.1%,5.1%,14.3%,
7,Lucian,61,78.2%,17,44,15,23,21,52.3%,4.77,2.36,4.93,4.11,325.05,8.68,15.1,404,-,-,69%,33.9%,24.6%,
8,Janna,53,67.9%,8,45,14,28,17,62.2%,0.33,2.11,11.13,5.43,19.87,0.55,9.2,255,-,-,73.5%,2.1%,15.3%,
9,Rumble,40,51.3%,15,25,11,13,12,52%,2.72,3.76,7.88,2.82,211,5.34,12.3,310,-,-,63.7%,16.3%,19.2%,
10,Tristana,39,50%,7,32,15,12,20,37.5%,3.94,2.19,3.41,3.36,299.78,8.73,13.3,388,-,-,68.3%,36.6%,25.1%,
11,Zed,38,48.7%,19,19,9,9,10,47.4%,4.53,3.58,4.32,2.47,306.79,7.88,14.4,369,-,-,63.2%,32.3%,23.2%,
12,Twitch,35,44.9%,11,24,9,17,7,70.8%,5.96,2.42,7.58,5.6,225.63,6.6,13.1,383,-,-,63.6%,28%,21.6%,
13,Rengar,33,42.3%,19,14,6,12,2,85.7%,4.36,2.43,9.57,5.74,117.07,3.42,11.6,338,-,-,65%,20.3%,18.3%,
14,Orianna,32,41%,5,27,12,14,13,51.9%,3.22,2.7,5.7,3.3,300.63,8.41,13.2,368,-,-,73.5%,26.5%,23.2%,
15,Yasuo,30,38.5%,15,15,8,10,5,66.7%,4.07,2.27,6,4.44,285.73,8.89,13,405,-,-,59.7%,24.1%,23.4%,
16,Nami,29,37.2%,3,26,12,10,16,38.5%,0.88,3.27,8.15,2.76,18.58,0.48,9.2,239,-,-,73.7%,7.2%,15.2%,
17,Syndra,25,32.1%,11,14,9,5,9,35.7%,4.21,3.64,5.07,2.55,337.21,8.13,15.1,365,-,-,64.4%,29.2%,23.5%,
18,Nidalee,25,32.1%,17,8,6,1,7,12.5%,2.25,5.25,2.75,0.95,231.38,6.21,11.5,309,-,-,48.2%,21.7%,20.7%,
19,Fizz,24,30.8%,11,13,7,5,8,38.5%,5,3.08,4.31,3.03,247.08,7.46,12.1,365,-,-,62.7%,33.7%,23%,
20,Corki,22,28.2%,-,22,7,12,10,54.5%,4.14,2.36,5.32,4,275.45,7.82,13.3,379,-,-,63%,27.6%,22.8%,
21,Irelia,21,26.9%,6,15,7,10,5,66.7%,3,1.4,6.2,6.57,238.27,6.77,12.3,351,-,-,63.6%,20.7%,20.9%,
22,Jayce,20,25.6%,8,12,6,7,5,58.3%,3.83,2.5,6.67,4.2,244.08,7.26,12.6,375,-,-,66%,24.1%,21.9%,
23,Jarvan IV,18,23.1%,1,17,10,6,11,35.3%,1.71,3.59,8.94,2.97,112.76,3.15,10.1,282,-,-,79.7%,12.8%,17.9%,
24,Kog'Maw,17,21.8%,1,16,9,7,9,43.8%,3.63,2.5,5.25,3.55,294.69,7.21,14.6,357,-,-,71.4%,29.1%,22.9%,
25,Lulu,17,21.8%,2,15,10,5,10,33.3%,1.27,2.6,4,2.03,243.07,6.72,11.4,316,-,-,64.2%,15.4%,20.9%,
26,Elise,16,20.5%,1,15,9,5,10,33.3%,1.47,3.33,4.07,1.66,114.8,2.96,10.1,260,-,-,52.2%,13.8%,16.9%,
27,Kayle,15,19.2%,2,13,10,5,8,38.5%,1.62,3.08,6.62,2.68,221.54,6.19,11.3,316,-,-,68.2%,13.4%,20.6%,
28,Twisted Fate,14,17.9%,6,8,4,3,5,37.5%,4.88,3.38,6.63,3.41,296.25,8.7,14.9,439,-,-,68.1%,28.9%,25.9%,
29,Ahri,13,16.7%,1,12,8,5,7,41.7%,3.58,2.58,4.58,3.16,300.25,7.72,14,361,-,-,69%,30.3%,23%,
30,Braum,12,15.4%,-,12,9,6,6,50%,0.08,3.75,9.42,2.53,36.75,1.14,7.8,242,-,-,69.1%,0.6%,14.8%,
31,Morgana,12,15.4%,-,12,6,6,6,50%,0.5,3.17,8.75,2.92,24.83,0.63,10.2,261,-,-,67.3%,3.6%,15.9%,
32,Dr. Mundo,10,12.8%,-,10,5,1,9,10%,1.7,3.1,3.2,1.58,230.8,6.32,11,302,-,-,53.3%,18.5%,20.6%,
33,Kassadin,10,12.8%,2,8,6,5,3,62.5%,4.38,2.5,6.75,4.45,246.88,6.96,13,367,-,-,63.6%,25%,21.6%,
34,Jinx,10,12.8%,3,7,3,2,5,28.6%,1.71,4.29,5,1.57,227.43,6.72,10.8,318,-,-,61%,15.6%,22.2%,
35,Talon,7,9%,-,7,4,3,4,42.9%,2.86,5.29,5,1.49,258.57,7.69,12.2,363,-,-,53.4%,19.4%,22.2%,
36,Xerath,6,7.7%,-,6,6,2,4,33.3%,1.5,1.67,2.5,2.4,332.83,8.96,13,350,-,-,64.9%,24.3%,23.8%,
37,Aatrox,6,7.7%,6,0,-,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Vayne,4,5.1%,-,4,3,3,1,75%,5.25,0.75,4.75,13.33,293,8.67,13.8,408,-,-,63.5%,33.3%,23.8%,
39,Leona,3,3.8%,-,3,2,1,2,33.3%,1.67,3.33,5.33,2.1,40.67,1.05,7.7,200,-,-,45.7%,10.9%,13.6%,
40,Pantheon,3,3.8%,-,3,2,1,2,33.3%,5,5,3.67,1.73,85,3.05,8.3,299,-,-,60.5%,34.9%,19.1%,
41,Blitzcrank,3,3.8%,-,3,1,0,3,0%,1.33,6.33,7,1.32,23.33,0.8,6.3,216,-,-,71.4%,11.4%,15.7%,
42,Sona,3,3.8%,-,3,2,0,3,0%,0.33,4,4.33,1.17,12,0.4,6.2,207,-,-,73.7%,5.3%,14.3%,
43,Rammus,3,3.8%,1,2,2,2,0,100%,2,3,11.5,4.5,97.5,2.62,10.7,286,-,-,71.1%,10.5%,16.2%,
44,Evelynn,2,2.6%,-,2,2,2,0,100%,3,1,12,15,113.5,2.97,12.8,334,-,-,63.8%,12.8%,18.8%,
45,Caitlyn,2,2.6%,-,2,1,1,1,50%,5.5,2,4,4.75,487.5,9.43,21.4,414,-,-,63.3%,36.7%,25.1%,
46,Graves,2,2.6%,-,2,2,1,1,50%,3.5,2.5,6,3.8,252.5,7.62,12,362,-,-,51.4%,18.9%,22.3%,
47,Singed,2,2.6%,-,2,1,1,1,50%,3.5,2.5,13,6.6,277.5,8.23,13.3,395,-,-,70.2%,14.9%,22%,
48,Ziggs,2,2.6%,-,2,2,1,1,50%,2,1.5,5,4.67,354.5,8.43,14.7,348,-,-,50%,14.3%,22.6%,
49,Ezreal,2,2.6%,-,2,2,0,2,0%,3,1,2,5,226.5,6.37,10.8,305,-,-,47.6%,28.6%,22.1%,
